"scientificName","decimalLongitude","decimalLatitude"
"Intellagama lesueurii",151.252429,-33.840405
"Intellagama lesueurii",152.976659,-27.477034
"Intellagama lesueurii",150.024888,-33.819677
"Intellagama lesueurii",152.978166,-27.47542
"Intellagama lesueurii",151.236321,-33.750269
"Intellagama lesueurii",152.976817,-27.476888
"Intellagama lesueurii",152.976931,-27.477225
"Intellagama lesueurii",152.977806,-27.474666
"Intellagama lesueurii",153.028867,-27.475715
"Intellagama lesueurii",150.913479,-33.524854
"Intellagama lesueurii",150.848882,-34.043792
"Intellagama lesueurii",151.216705,-33.865944
"Intellagama lesueurii",148.535156,-32.249974
"Intellagama lesueurii",150.993343,-33.79921
"Intellagama lesueurii",150.891195,-33.556866
"Intellagama lesueurii",148.535156,-25.482951
"Intellagama lesueurii",152.938056,-27.456417
"Intellagama lesueurii",151.025573,-33.781373
"Intellagama lesueurii",150.858679,-34.07366
"Intellagama lesueurii",151.308776,-33.644416
"Intellagama lesueurii",149.108002,-35.273865
"Intellagama lesueurii",151.003236,-34.087328
"Intellagama lesueurii",151.29949,-33.806476
"Chlamydosaurus kingii",114.593262,-28.75073
"Intellagama lesueurii",152.978874,-27.476435
"Intellagama lesueurii",151.215727,-33.86918
"Intellagama lesueurii",151.138412,-33.774153
"Intellagama lesueurii",149.108918,-35.278878
"Intellagama lesueurii",149.108642,-35.276276
"Intellagama lesueurii",150.670624,-33.754714
"Intellagama lesueurii",151.008368,-33.791132
"Intellagama lesueurii",150.442832,-33.650655
"Intellagama lesueurii",151.245947,-33.848038
"Intellagama lesueurii",151.169895,-33.814556
"Intellagama lesueurii",152.976909,-27.477274
"Intellagama lesueurii",150.80657,-34.152941
"Intellagama lesueurii",151.21713,-33.865039
"Intellagama lesueurii",152.976253,-27.477017
"Chlamydosaurus kingii",150.650024,-22.857195
"Intellagama lesueurii",152.97664,-27.476996
"Intellagama lesueurii",152.938056,-27.456417
"Chlamydosaurus kingii",150.748832,-33.613944
"Intellagama lesueurii",152.976735,-27.476903
"Intellagama lesueurii",150.686304,-34.186175
"Intellagama lesueurii",152.974828,-27.477533
"Intellagama lesueurii",149.108918,-35.278878
"Intellagama lesueurii",150.791731,-33.767285
"Intellagama lesueurii",151.199042,-33.871114
"Intellagama lesueurii",151.280016,-33.743541
"Intellagama lesueurii",151.299062,-33.807897
"Intellagama lesueurii",152.978854,-27.476309
"Intellagama lesueurii",152.974533,-27.477371
"Intellagama lesueurii",152.976576,-27.477171
"Intellagama lesueurii",151.199042,-33.871114
"Intellagama lesueurii",148.743041,-35.309203
"Intellagama lesueurii",150.791519,-34.069826
"Intellagama lesueurii",152.512021,-26.503219
"Intellagama lesueurii",150.624422,-33.751316
"Intellagama lesueurii",151.217258,-33.865507
"Intellagama lesueurii",152.977042,-27.477235
"Intellagama lesueurii",152.938056,-27.456417
"Intellagama lesueurii",151.247787,-33.298673
"Intellagama lesueurii",151.21716,-33.864943
"Intellagama lesueurii",152.977042,-27.477345
"Intellagama lesueurii",145.775293,-16.924185
"Intellagama lesueurii",151.205692,-33.756458
"Intellagama lesueurii",115.843116,-31.959545
"Intellagama lesueurii",151.156898,-33.881318
"Intellagama lesueurii",152.978098,-27.475474
"Intellagama lesueurii",150.992315,-33.799549
"Ctenophorus caudicinctus",118.905182,-32.445059
"Intellagama lesueurii",150.829319,-33.60178
"Intellagama lesueurii",150.676011,-33.750178
"Intellagama lesueurii",151.205692,-33.756458
"Intellagama lesueurii",152.35325,-24.863287
"Intellagama lesueurii",151.216419,-33.865884
"Intellagama lesueurii",151.234817,-33.842047
"Intellagama lesueurii",152.975879,-27.476956
"Intellagama lesueurii",151.299492,-33.806462
"Intellagama lesueurii",152.977122,-27.477228
"Chlamydosaurus kingii",143.386853,-12.614996
"Intellagama lesueurii",152.976364,-27.476745
"Intellagama lesueurii",151.329293,-33.427552
"Intellagama lesueurii",150.767169,-34.062625
"Intellagama lesueurii",152.975913,-27.476869
"Intellagama lesueurii",151.292822,-33.800271
"Intellagama lesueurii",150.628199,-33.756949
"Intellagama lesueurii",152.976917,-27.477284
"Intellagama lesueurii",152.974566,-27.477485
"Intellagama lesueurii",151.216674,-33.865988
"Intellagama lesueurii",150.979391,-33.907047
"Chlamydosaurus kingii",122.229971,-17.956594
"Intellagama lesueurii",152.976793,-27.476811
"Intellagama lesueurii",150.654391,-33.636569
"Intellagama lesueurii",149.108387,-35.276134
"Intellagama lesueurii",150.70818,-33.530599
"Intellagama lesueurii",150.993018,-33.760672
"Intellagama lesueurii",151.2169,-33.8639
"Intellagama lesueurii",153.083453,-27.841353
"Intellagama lesueurii",150.882844,-33.883116
"Intellagama lesueurii",151.216418,-33.865884
"Intellagama lesueurii",152.998296,-27.24149
"Intellagama lesueurii",150.612113,-34.17095
"Intellagama lesueurii",152.975887,-27.476898
"Intellagama lesueurii",151.217117,-33.865023
"Intellagama lesueurii",152.95596,-27.525472
"Intellagama lesueurii",151.236314,-33.750268
"Intellagama lesueurii",151.21676,-33.865983
"Intellagama lesueurii",150.677017,-33.749582
"Pogona barbata",151.083333,-34.083333
"Intellagama lesueurii",151.296235,-33.812787
"Intellagama lesueurii",152.977683,-27.474861
"Intellagama lesueurii",152.976942,-27.477246
"Intellagama lesueurii",150.909083,-34.34496
"Intellagama lesueurii",151.216667,-33.865876
"Intellagama lesueurii",151.217004,-33.865085
"Intellagama lesueurii",152.977544,-27.47508
"Intellagama lesueurii",152.977147,-27.477369
"Intellagama lesueurii",151.693258,-32.933256
"Intellagama lesueurii",151.075745,-33.705277
"Intellagama lesueurii",150.672925,-33.752678
"Intellagama lesueurii",151.060833,-33.980806
"Intellagama lesueurii",149.108918,-35.278878
"Intellagama lesueurii",151.003445,-34.068289
"Amphibolurus muricatus",144.22871,-38.39645
"Amphibolurus muricatus",144.53885,-38.17932
"Amphibolurus muricatus",144.34695,-38.31351
"Amphibolurus muricatus",144.167027,-38.330831
"Amphibolurus muricatus",144.042573,-38.022957
"Amphibolurus muricatus",144.545699,-38.271903
"Amphibolurus muricatus",144.047208,-38.06544
"Amphibolurus muricatus",144.346954,-38.313511
"Amphibolurus muricatus",144.346954,-38.313511
"Amphibolurus muricatus",144.34695,-38.31351
"Amphibolurus muricatus",144.315944,-38.344699
"Amphibolurus muricatus",144.181549,-37.884167
"Amphibolurus muricatus",144.336028,-38.32132
"Amphibolurus muricatus",144.57155,-38.2481
"Amphibolurus muricatus",144.709645,-38.198661
"Amphibolurus muricatus",144.269338,-38.373169
"Amphibolurus muricatus",144.40701,-38.196857
"Amphibolurus muricatus",144.196765,-38.357589
"Amphibolurus muricatus",144.53747,-38.27021
"Amphibolurus muricatus",144.196729,-37.814935
"Amphibolurus muricatus",144.37624,-38.303759
"Amphibolurus muricatus",144.36135,-38.14854
"Amphibolurus muricatus",144.346954,-38.313511
"Amphibolurus muricatus",144.52694,-38.2505
"Amphibolurus muricatus",144.34695,-38.31351
"Amphibolurus muricatus",144.26448,-37.79029
"Amphibolurus muricatus",144.18843,-38.33135
